customerId,averageAmount
CS4839,73.95833333333333
CS2002,74.6842105263158
CS4604,69.24137931034483
CS3256,69.2
CS1148,69.32
CS4533,58.28
CS3710,65.72727272727273
CS6098,78.28
CS7241,43.611111111111114
CS5240,74.42857142857143
CS1992,78.22222222222223
CS3090,66.55555555555556
CS3631,67.31818181818181
CS3260,78.76190476190476
CS2551,75.9090909090909
CS2331,70.42307692307692
CS5076,65.28571428571429
CS5780,70.78260869565217
CS3105,68.19047619047619
CS1143,78.4375
CS5069,72.43478260869566
CS5573,71.125
CS7673,47.94117647058823
CS7320,44.1
CS3608,68.17647058823529
CS1539,68.55
CS5273,59.791666666666664
CS4934,77.70833333333333
CS4110,75.04166666666667
CS1344,65.52
CS1385,67.18181818181819
CS1676,74.57142857142857
CS3703,70.52631578947368
CS4061,69.13333333333334
CS5046,71.33333333333333
CS7940,46.64705882352941
CS2778,72.3125
CS1615,70.95
CS5808,76.13636363636364
CS7178,32.57142857142857
CS5651,70.28571428571429
CS3595,68.05263157894737
CS5888,69.33333333333333
CS1958,61.6875
CS5093,68.07407407407408
CS4755,79.9
CS7861,43.785714285714285
CS2824,64.6
CS3732,71.27777777777777
CS5656,79.1304347826087
CS1905,64.625
CS1996,72.78571428571429
CS1677,68.52380952380952
CS1803,74.38095238095238
CS5872,64.0
CS5295,65.48
CS2588,67.8695652173913
CS3023,65.36842105263158
CS4478,68.78947368421052
CS2386,73.9047619047619
CS2916,72.0952380952381
CS3116,76.72
CS1114,75.36842105263158
CS1553,72.2
CS3504,73.56666666666666
CS5176,68.03571428571429
CS2227,61.333333333333336
CS4494,70.85714285714286
CS5589,71.15384615384616
CS3999,74.04347826086956
CS4746,75.38709677419355
CS4623,74.65217391304348
CS4582,72.19047619047619
CS5124,70.46428571428571
CS4549,71.83333333333333
CS1420,76.92
CS3398,75.28571428571429
CS1619,63.0
CS7640,42.46153846153846
CS3456,73.0
CS1622,68.0
CS2548,69.20833333333333
CS5113,69.15789473684211
CS4311,69.5909090909091
CS4451,67.22222222222223
CS3406,65.47826086956522
CS1661,64.09375
CS8079,51.266666666666666
CS5406,68.0909090909091
CS2691,70.0625
CS8845,46.80952380952381
CS8292,56.857142857142854
CS7370,45.588235294117645
CS3880,73.54545454545455
CS5922,74.37037037037037
CS2921,65.25
CS3811,77.0
CS2782,75.47619047619048
CS2064,69.4375
CS1118,67.4
CS4356,68.61290322580645
CS2026,68.10714285714286
CS3361,72.05882352941177
CS1919,62.8
CS4717,73.31818181818181
CS3898,68.0909090909091
CS6081,73.0
CS4768,66.1923076923077
CS5598,75.80952380952381
CS5294,70.21428571428571
CS3473,70.3
CS4106,67.75
CS2677,73.21428571428571
CS5160,72.66666666666667
CS3761,72.16666666666667
CS2177,69.52631578947368
CS5001,72.4090909090909
CS2414,78.52631578947368
CS5239,69.77777777777777
CS4985,69.9047619047619
CS4699,68.73684210526316
CS2510,65.0
CS2624,71.07407407407408
CS5797,70.11538461538461
CS1259,76.31818181818181
CS3495,69.78947368421052
CS3409,78.0
CS2515,68.95454545454545
CS1403,75.0909090909091
CS1768,71.76
CS1160,69.0
CS4470,70.33333333333333
CS2292,68.78260869565217
CS3854,82.05555555555556
CS4924,66.3913043478261
CS4878,62.72727272727273
CS2341,69.5
CS1900,72.375
CS2595,65.91304347826087
CS1372,74.3157894736842
CS5833,73.89473684210526
CS3439,62.857142857142854
CS3082,66.66666666666667
CS5341,69.36842105263158
CS2403,68.33333333333333
CS4779,69.34782608695652
CS4952,75.52
CS4578,66.16666666666667
CS3750,74.23529411764706
CS6086,70.77777777777777
CS4260,67.125
CS5951,72.29411764705883
CS4345,68.625
CS3645,69.88888888888889
CS1191,72.47619047619048
CS1233,65.42857142857143
CS1172,72.55555555555556
CS1182,72.875
CS5319,66.85714285714286
CS1757,72.19354838709677
CS2501,69.56521739130434
CS5944,68.76923076923077
